person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_label,loan_id,rate_was_missing,int_rate_filling,income_band,age_band,person_emp_length_band,loan_to_income_band
25,50000,RENT,9,HOME IMPROVEMENT,B,6075,10,0,0.12,No,2,Non Default,6983,0,10,3. 50k-75k,2. 25-29,5. 6-9 yrs,2. 10-20%
25,50988,OWN,9,HOME IMPROVEMENT,B,4200,9.99,0,0.08,No,3,Non Default,6984,0,9.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,1. 0-10%
22,51000,OWN,0,VENTURE,A,16000,7.9,0,0.31,No,3,Non Default,6985,0,7.9,3. 50k-75k,1. Under 25,2. Under 1 yrs,4. 30-40%
25,19200,RENT,3,DEBT CONSOLIDATION,B,6150,11.46,1,0.32,No,3,Default,6986,0,11.46,1. Under 30,2. 25-29,4. 3-5yrs,4. 30-40%
24,35713,RENT,1,MEDICAL,C,6150,11.03,0,0.17,Yes,3,Non Default,6987,0,11.03,2. 30k-50k,1. Under 25,3. 1-2 yrs,2. 10-20%
24,45000,MORTGAGE,0,VENTURE,C,10625,14.27,1,0.24,Yes,2,Default,6988,0,14.27,2. 30k-50k,1. Under 25,2. Under 1 yrs,3. 20-30%
24,77385,RENT,5,DEBT CONSOLIDATION,A,6150,5.99,0,0.08,No,4,Non Default,6989,0,5.99,4. 75k-100k,1. Under 25,4. 3-5yrs,1. 0-10%
23,51000,MORTGAGE,5,DEBT CONSOLIDATION,A,4000,6.03,0,0.08,No,2,Non Default,6990,0,6.03,3. 50k-75k,1. Under 25,4. 3-5yrs,1. 0-10%
23,51000,MORTGAGE,7,VENTURE,A,10000,6.03,0,0.2,No,3,Non Default,6991,0,6.03,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,19200,RENT,1,MEDICAL,G,6200,19.82,1,0.32,No,3,Default,6992,0,19.82,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
26,51000,MORTGAGE,11,HOME IMPROVEMENT,B,9000,9.99,0,0.18,No,3,Non Default,6993,0,9.99,3. 50k-75k,2. 25-29,6. 10+,2. 10-20%
26,20000,RENT,9,EDUCATION,A,6200,5.99,1,0.31,No,4,Default,6994,0,5.99,1. Under 30,2. 25-29,5. 6-9 yrs,4. 30-40%
23,51000,OWN,7,PERSONAL,A,6000,5.42,0,0.12,No,4,Non Default,6995,0,5.42,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
24,26000,RENT,2,HOME IMPROVEMENT,D,6200,14.11,1,0.24,No,4,Default,6996,0,14.11,1. Under 30,1. Under 25,3. 1-2 yrs,3. 20-30%
22,51000,MORTGAGE,3,DEBT CONSOLIDATION,A,10000,8.49,0,0.2,No,3,Non Default,6997,0,8.49,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,29004,RENT,6,DEBT CONSOLIDATION,C,6200,15.23,0,0.21,Yes,4,Non Default,6998,0,15.23,1. Under 30,1. Under 25,5. 6-9 yrs,3. 20-30%
22,30000,RENT,3,EDUCATION,D,6200,,0,0.21,Yes,3,Non Default,6999,1,15.31,2. 30k-50k,1. Under 25,4. 3-5yrs,3. 20-30%
21,51000,MORTGAGE,5,EDUCATION,B,13000,,0,0.25,No,3,Non Default,7000,1,10.99,3. 50k-75k,1. Under 25,4. 3-5yrs,3. 20-30%
26,39996,RENT,2,DEBT CONSOLIDATION,C,6200,13.79,0,0.16,No,2,Non Default,7001,0,13.79,2. 30k-50k,2. 25-29,3. 1-2 yrs,2. 10-20%
22,40000,RENT,2,EDUCATION,B,6200,12.69,0,0.15,No,3,Non Default,7002,0,12.69,2. 30k-50k,1. Under 25,3. 1-2 yrs,2. 10-20%
23,42500,RENT,1,PERSONAL,C,6200,13.92,0,0.15,No,2,Non Default,7003,0,13.92,2. 30k-50k,1. Under 25,3. 1-2 yrs,2. 10-20%
22,45000,RENT,7,EDUCATION,C,6200,13.79,0,0.14,No,3,Non Default,7004,0,13.79,2. 30k-50k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,51000,MORTGAGE,2,PERSONAL,A,8000,7.49,0,0.16,No,3,Non Default,7005,0,7.49,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
26,51000,MORTGAGE,2,MEDICAL,A,4000,5.99,0,0.08,No,4,Non Default,7006,0,5.99,3. 50k-75k,2. 25-29,3. 1-2 yrs,1. 0-10%
22,46200,RENT,5,EDUCATION,B,6200,12.42,0,0.13,No,3,Non Default,7007,0,12.42,2. 30k-50k,1. Under 25,4. 3-5yrs,2. 10-20%
25,50606,RENT,3,MEDICAL,A,6200,,0,0.12,No,4,Non Default,7008,1,7.49,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
26,51000,MORTGAGE,10,MEDICAL,A,15825,6.99,0,0.31,No,3,Non Default,7009,0,6.99,3. 50k-75k,2. 25-29,6. 10+,4. 30-40%
25,51000,MORTGAGE,6,EDUCATION,C,3000,13.99,0,0.06,No,2,Non Default,7010,0,13.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,1. 0-10%
23,51000,MORTGAGE,2,DEBT CONSOLIDATION,A,2400,7.49,0,0.05,No,3,Non Default,7011,0,7.49,3. 50k-75k,1. Under 25,3. 1-2 yrs,1. 0-10%
22,46000,RENT,1,DEBT CONSOLIDATION,D,6200,,1,0.13,No,4,Default,7012,1,15.31,2. 30k-50k,1. Under 25,3. 1-2 yrs,2. 10-20%
23,56000,RENT,4,PERSONAL,A,6200,8.49,0,0.11,No,2,Non Default,7013,0,8.49,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
23,60000,RENT,1,DEBT CONSOLIDATION,B,6200,10.65,0,0.1,No,3,Non Default,7014,0,10.65,3. 50k-75k,1. Under 25,3. 1-2 yrs,1. 0-10%
25,51000,MORTGAGE,0,PERSONAL,A,4200,7.29,0,0.08,No,2,Non Default,7015,0,7.29,3. 50k-75k,2. 25-29,2. Under 1 yrs,1. 0-10%
26,51000,MORTGAGE,3,DEBT CONSOLIDATION,A,12000,7.29,0,0.24,No,4,Non Default,7016,0,7.29,3. 50k-75k,2. 25-29,4. 3-5yrs,3. 20-30%
23,45000,MORTGAGE,6,MEDICAL,B,5000,10.74,1,0.11,No,2,Default,7017,0,10.74,2. 30k-50k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,65000,RENT,8,PERSONAL,A,6200,,0,0.1,No,2,Non Default,7018,1,7.49,3. 50k-75k,1. Under 25,5. 6-9 yrs,1. 0-10%
25,51000,MORTGAGE,6,PERSONAL,E,16750,16.4,0,0.33,No,4,Non Default,7019,0,16.4,3. 50k-75k,2. 25-29,5. 6-9 yrs,4. 30-40%
24,65000,RENT,0,VENTURE,A,6200,8.9,0,0.1,No,2,Non Default,7020,0,8.9,3. 50k-75k,1. Under 25,2. Under 1 yrs,1. 0-10%
26,69000,RENT,7,EDUCATION,A,6200,7.88,0,0.09,No,3,Non Default,7021,0,7.88,3. 50k-75k,2. 25-29,5. 6-9 yrs,1. 0-10%
22,51000,MORTGAGE,6,MEDICAL,A,6000,5.79,0,0.12,No,2,Non Default,7022,0,5.79,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
26,51000,MORTGAGE,2,DEBT CONSOLIDATION,A,12000,6.17,0,0.24,No,4,Non Default,7023,0,6.17,3. 50k-75k,2. 25-29,3. 1-2 yrs,3. 20-30%
22,72000,RENT,4,PERSONAL,A,6200,5.99,0,0.09,No,2,Non Default,7024,0,5.99,3. 50k-75k,1. Under 25,4. 3-5yrs,1. 0-10%
25,51000,MORTGAGE,7,DEBT CONSOLIDATION,C,7600,12.23,0,0.15,No,3,Non Default,7025,0,12.23,3. 50k-75k,2. 25-29,5. 6-9 yrs,2. 10-20%
23,45000,RENT,0,VENTURE,C,6225,11.54,0,0.14,Yes,4,Non Default,7026,0,11.54,2. 30k-50k,1. Under 25,2. Under 1 yrs,2. 10-20%
21,63250,RENT,2,PERSONAL,B,6225,10.99,0,0.1,No,4,Non Default,7027,0,10.99,3. 50k-75k,1. Under 25,3. 1-2 yrs,1. 0-10%
22,51000,MORTGAGE,6,PERSONAL,B,7000,11.12,0,0.14,No,3,Non Default,7028,0,11.12,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,51000,MORTGAGE,7,MEDICAL,A,10000,7.14,0,0.2,No,2,Non Default,7029,0,7.14,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,14898,RENT,,VENTURE,C,6250,15.27,1,0.42,No,2,Default,7030,0,15.27,1. Under 30,1. Under 25,1. Unknown,4. 30-40%
22,16000,RENT,,VENTURE,B,6250,9.91,1,0.39,No,2,Default,7031,0,9.91,1. Under 30,1. Under 25,1. Unknown,4. 30-40%
24,51000,OWN,8,HOME IMPROVEMENT,A,9000,7.14,0,0.18,No,3,Non Default,7032,0,7.14,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
22,19200,RENT,2,DEBT CONSOLIDATION,A,6250,7.51,1,0.33,No,3,Default,7033,0,7.51,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
25,19200,RENT,4,EDUCATION,D,6250,15.31,1,0.33,Yes,2,Default,7034,0,15.31,1. Under 30,2. 25-29,4. 3-5yrs,4. 30-40%
24,51000,OWN,6,VENTURE,B,6000,10.75,0,0.12,No,2,Non Default,7035,0,10.75,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
23,19250,RENT,1,HOME IMPROVEMENT,E,6250,16.82,1,0.32,Yes,4,Default,7036,0,16.82,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
22,51000,MORTGAGE,3,VENTURE,C,13000,13.48,0,0.25,Yes,3,Non Default,7037,0,13.48,3. 50k-75k,1. Under 25,4. 3-5yrs,3. 20-30%
22,20000,RENT,3,EDUCATION,D,6250,,1,0.31,Yes,3,Default,7038,1,15.31,1. Under 30,1. Under 25,4. 3-5yrs,4. 30-40%
21,21000,RENT,2,EDUCATION,C,6250,13.85,0,0.3,No,3,Non Default,7039,0,13.85,1. Under 30,1. Under 25,3. 1-2 yrs,3. 20-30%
21,23000,RENT,5,PERSONAL,C,6250,13.48,0,0.27,Yes,3,Non Default,7040,0,13.48,1. Under 30,1. Under 25,4. 3-5yrs,3. 20-30%
22,23000,RENT,6,MEDICAL,C,6250,12.73,0,0.27,No,2,Non Default,7041,0,12.73,1. Under 30,1. Under 25,5. 6-9 yrs,3. 20-30%
25,51000,MORTGAGE,5,DEBT CONSOLIDATION,A,7000,7.88,0,0.14,No,4,Non Default,7042,0,7.88,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
23,51000,MORTGAGE,3,PERSONAL,C,16000,13.11,0,0.31,Yes,3,Non Default,7043,0,13.11,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
25,24000,RENT,3,DEBT CONSOLIDATION,C,6250,13.72,0,0.26,Yes,3,Non Default,7044,0,13.72,1. Under 30,2. 25-29,4. 3-5yrs,3. 20-30%
23,24000,RENT,0,EDUCATION,B,6250,12.53,0,0.26,No,3,Non Default,7045,0,12.53,1. Under 30,1. Under 25,2. Under 1 yrs,3. 20-30%
24,26000,RENT,8,MEDICAL,A,6250,6.91,0,0.24,No,4,Non Default,7046,0,6.91,1. Under 30,1. Under 25,5. 6-9 yrs,3. 20-30%
21,51000,MORTGAGE,5,PERSONAL,A,6000,7.88,0,0.12,No,2,Non Default,7047,0,7.88,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,27000,RENT,3,MEDICAL,D,6250,15.99,1,0.23,Yes,4,Default,7048,0,15.99,1. Under 30,1. Under 25,4. 3-5yrs,3. 20-30%
22,55000,RENT,3,VENTURE,A,7000,6.91,0,0.13,No,4,Non Default,7049,0,6.91,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
24,51000,MORTGAGE,5,HOME IMPROVEMENT,A,3600,7.14,0,0.07,No,2,Non Default,7050,0,7.14,3. 50k-75k,1. Under 25,4. 3-5yrs,1. 0-10%
24,55000,RENT,1,MEDICAL,A,7000,7.88,0,0.13,No,4,Non Default,7051,0,7.88,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
22,51000,MORTGAGE,3,EDUCATION,B,15200,10.99,0,0.3,No,4,Non Default,7052,0,10.99,3. 50k-75k,1. Under 25,4. 3-5yrs,3. 20-30%
24,51000,OWN,9,VENTURE,D,10000,15.31,0,0.2,Yes,2,Non Default,7053,0,15.31,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
26,51000,MORTGAGE,3,HOME IMPROVEMENT,A,10000,7.74,0,0.2,No,3,Non Default,7054,0,7.74,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
22,56000,RENT,0,DEBT CONSOLIDATION,B,7000,11.36,0,0.13,No,2,Non Default,7055,0,11.36,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
21,45000,MORTGAGE,3,DEBT CONSOLIDATION,D,8000,15.31,1,0.18,Yes,3,Default,7056,0,15.31,2. 30k-50k,1. Under 25,4. 3-5yrs,2. 10-20%
24,56000,RENT,7,VENTURE,A,7000,8.59,0,0.13,No,3,Non Default,7057,0,8.59,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
24,51000,MORTGAGE,4,HOME IMPROVEMENT,A,8500,8.94,0,0.17,No,3,Non Default,7058,0,8.94,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,56000,RENT,4,PERSONAL,A,7000,9.07,0,0.13,No,3,Non Default,7059,0,9.07,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
25,50000,RENT,2,MEDICAL,E,7000,15.57,1,0.14,No,3,Default,7060,0,15.57,3. 50k-75k,2. 25-29,3. 1-2 yrs,2. 10-20%
25,56004,RENT,3,MEDICAL,C,7000,14.22,0,0.12,No,4,Non Default,7061,0,14.22,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
23,57960,RENT,0,PERSONAL,C,7000,13.04,0,0.12,Yes,4,Non Default,7062,0,13.04,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
23,52000,RENT,3,MEDICAL,C,7000,13.85,1,0.13,No,4,Default,7063,0,13.85,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
24,51000,MORTGAGE,5,EDUCATION,B,8000,10.96,0,0.16,No,3,Non Default,7064,0,10.96,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,60000,RENT,9,DEBT CONSOLIDATION,C,7000,13.49,0,0.12,No,2,Non Default,7065,0,13.49,3. 50k-75k,2. 25-29,5. 6-9 yrs,2. 10-20%
24,51024,MORTGAGE,8,HOME IMPROVEMENT,C,2000,12.99,0,0.04,Yes,4,Non Default,7066,0,12.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,1. 0-10%
23,51036,MORTGAGE,7,EDUCATION,C,15000,13.16,0,0.29,No,4,Non Default,7067,0,13.16,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
22,60000,RENT,1,PERSONAL,C,7000,14.65,0,0.12,No,2,Non Default,7068,0,14.65,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
23,60000,RENT,4,DEBT CONSOLIDATION,A,7000,6.03,0,0.12,No,3,Non Default,7069,0,6.03,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
24,51072,MORTGAGE,8,EDUCATION,B,13000,10.95,0,0.25,No,2,Non Default,7070,0,10.95,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
25,54000,RENT,1,DEBT CONSOLIDATION,F,7000,20.89,1,0.13,No,3,Default,7071,0,20.89,3. 50k-75k,2. 25-29,3. 1-2 yrs,2. 10-20%
22,51168,MORTGAGE,6,VENTURE,B,15500,10.99,0,0.3,No,3,Non Default,7072,0,10.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
24,54000,RENT,0,DEBT CONSOLIDATION,D,7000,15.99,1,0.13,Yes,3,Default,7073,0,15.99,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
25,60000,RENT,3,VENTURE,D,7000,15.62,0,0.12,No,4,Non Default,7074,0,15.62,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
25,60000,RENT,3,HOME IMPROVEMENT,A,7000,6.92,0,0.12,No,2,Non Default,7075,0,6.92,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
23,60000,RENT,4,DEBT CONSOLIDATION,A,7000,5.79,0,0.12,No,3,Non Default,7076,0,5.79,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,60000,RENT,3,MEDICAL,A,7000,6.91,0,0.12,No,2,Non Default,7077,0,6.91,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
25,51300,MORTGAGE,7,VENTURE,A,11000,5.99,0,0.21,No,3,Non Default,7078,0,5.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,3. 20-30%
25,60000,RENT,0,MEDICAL,B,7000,9.25,0,0.12,No,2,Non Default,7079,0,9.25,3. 50k-75k,2. 25-29,2. Under 1 yrs,2. 10-20%
24,60000,RENT,5,EDUCATION,A,7000,6.54,0,0.12,No,4,Non Default,7080,0,6.54,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,51300,OWN,6,PERSONAL,D,11200,15.31,0,0.22,Yes,3,Non Default,7081,0,15.31,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
25,60000,RENT,9,MEDICAL,B,7000,10.36,0,0.12,No,4,Non Default,7082,0,10.36,3. 50k-75k,2. 25-29,5. 6-9 yrs,2. 10-20%
23,51319,MORTGAGE,2,VENTURE,B,20000,10.37,0,0.39,No,3,Non Default,7083,0,10.37,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
22,60000,RENT,3,EDUCATION,A,7000,6.91,0,0.12,No,2,Non Default,7084,0,6.91,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,60000,RENT,5,MEDICAL,B,7000,9.99,0,0.12,No,4,Non Default,7085,0,9.99,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,54000,RENT,6,MEDICAL,D,7000,14.96,1,0.13,Yes,4,Default,7086,0,14.96,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
24,60000,RENT,0,VENTURE,A,7000,7.88,0,0.12,No,3,Non Default,7087,0,7.88,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
22,54000,RENT,2,PERSONAL,D,7000,14.96,1,0.13,No,3,Default,7088,0,14.96,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
24,60000,RENT,0,EDUCATION,A,7000,9.32,0,0.12,No,3,Non Default,7089,0,9.32,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
24,60140,RENT,2,VENTURE,A,7000,8.59,0,0.12,No,3,Non Default,7090,0,8.59,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
24,51480,MORTGAGE,7,MEDICAL,A,12000,7.88,0,0.23,No,2,Non Default,7091,0,7.88,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
22,51480,MORTGAGE,4,MEDICAL,B,3000,11.83,0,0.06,No,2,Non Default,7092,0,11.83,3. 50k-75k,1. Under 25,4. 3-5yrs,1. 0-10%
23,45480,MORTGAGE,7,DEBT CONSOLIDATION,C,4400,13.16,1,0.1,No,3,Default,7093,0,13.16,2. 30k-50k,1. Under 25,5. 6-9 yrs,1. 0-10%
25,51492,MORTGAGE,2,EDUCATION,B,13800,10.38,0,0.27,No,4,Non Default,7094,0,10.38,3. 50k-75k,2. 25-29,3. 1-2 yrs,3. 20-30%
22,60500,RENT,3,DEBT CONSOLIDATION,C,7000,12.84,0,0.12,No,2,Non Default,7095,0,12.84,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,51500,OWN,10,HOME IMPROVEMENT,A,15000,6.92,0,0.29,No,2,Non Default,7096,0,6.92,3. 50k-75k,2. 25-29,6. 10+,3. 20-30%
24,51500,MORTGAGE,2,VENTURE,A,6300,5.79,0,0.12,No,3,Non Default,7097,0,5.79,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
23,62000,RENT,5,PERSONAL,B,7000,9.91,0,0.11,No,4,Non Default,7098,0,9.91,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,51500,MORTGAGE,7,VENTURE,B,11000,,0,0.21,No,3,Non Default,7099,1,10.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,3. 20-30%
26,51500,MORTGAGE,3,HOME IMPROVEMENT,D,9600,15.21,0,0.19,Yes,4,Non Default,7100,0,15.21,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
24,51500,MORTGAGE,6,MEDICAL,A,4000,7.51,0,0.08,No,2,Non Default,7101,0,7.51,3. 50k-75k,1. Under 25,5. 6-9 yrs,1. 0-10%
22,51500,MORTGAGE,6,EDUCATION,B,7500,9.88,0,0.15,No,3,Non Default,7102,0,9.88,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
25,62000,RENT,9,DEBT CONSOLIDATION,A,7000,7.49,0,0.11,No,4,Non Default,7103,0,7.49,3. 50k-75k,2. 25-29,5. 6-9 yrs,2. 10-20%
23,62100,RENT,3,MEDICAL,B,7000,,0,0.11,No,2,Non Default,7104,1,10.99,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
23,51600,MORTGAGE,4,EDUCATION,B,7200,10.65,0,0.14,No,3,Non Default,7105,0,10.65,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
26,63000,RENT,4,VENTURE,D,7000,14.84,0,0.11,No,2,Non Default,7106,0,14.84,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
22,64000,RENT,6,EDUCATION,A,7000,5.79,0,0.11,No,3,Non Default,7107,0,5.79,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
22,51600,MORTGAGE,6,EDUCATION,B,4200,10.59,0,0.08,No,3,Non Default,7108,0,10.59,3. 50k-75k,1. Under 25,5. 6-9 yrs,1. 0-10%
23,51600,MORTGAGE,1,DEBT CONSOLIDATION,B,5000,10.59,0,0.1,No,3,Non Default,7109,0,10.59,3. 50k-75k,1. Under 25,3. 1-2 yrs,1. 0-10%
23,64600,RENT,7,MEDICAL,B,7000,11.86,0,0.11,No,3,Non Default,7110,0,11.86,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
25,64800,RENT,1,PERSONAL,C,7000,12.73,0,0.11,No,2,Non Default,7111,0,12.73,3. 50k-75k,2. 25-29,3. 1-2 yrs,2. 10-20%
22,65000,RENT,4,EDUCATION,C,7000,14.27,0,0.11,Yes,4,Non Default,7112,0,14.27,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
22,51600,MORTGAGE,2,VENTURE,C,7000,12.98,0,0.14,Yes,2,Non Default,7113,0,12.98,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
22,65000,RENT,7,EDUCATION,D,7000,15.99,0,0.11,No,3,Non Default,7114,0,15.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
25,51600,OWN,2,VENTURE,D,6000,,0,0.12,No,4,Non Default,7115,1,15.31,3. 50k-75k,2. 25-29,3. 1-2 yrs,2. 10-20%
22,65000,RENT,0,DEBT CONSOLIDATION,C,7000,12.99,0,0.11,No,2,Non Default,7116,0,12.99,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
26,51600,OWN,10,HOME IMPROVEMENT,B,15000,9.88,0,0.29,No,3,Non Default,7117,0,9.88,3. 50k-75k,2. 25-29,6. 10+,3. 20-30%
24,51600,OWN,8,VENTURE,C,20000,12.87,0,0.39,No,4,Non Default,7118,0,12.87,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
26,65000,RENT,3,EDUCATION,A,7000,,0,0.11,No,2,Non Default,7119,1,7.49,3. 50k-75k,2. 25-29,4. 3-5yrs,2. 10-20%
23,65000,RENT,7,EDUCATION,B,7000,10.75,0,0.11,No,4,Non Default,7120,0,10.75,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
25,51669,MORTGAGE,2,HOME IMPROVEMENT,B,12000,10.37,0,0.23,No,4,Non Default,7121,0,10.37,3. 50k-75k,2. 25-29,3. 1-2 yrs,3. 20-30%
25,51684,MORTGAGE,9,PERSONAL,D,4000,15.99,0,0.08,No,4,Non Default,7122,0,15.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,1. 0-10%
26,51700,OWN,2,HOME IMPROVEMENT,A,13200,7.51,0,0.26,No,4,Non Default,7123,0,7.51,3. 50k-75k,2. 25-29,3. 1-2 yrs,3. 20-30%
22,51800,MORTGAGE,4,EDUCATION,B,7200,11.71,0,0.14,No,3,Non Default,7124,0,11.71,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
21,51800,MORTGAGE,1,VENTURE,B,5000,9.99,0,0.1,No,3,Non Default,7125,0,9.99,3. 50k-75k,1. Under 25,3. 1-2 yrs,1. 0-10%
24,65000,RENT,0,DEBT CONSOLIDATION,B,7000,11.83,0,0.11,No,2,Non Default,7126,0,11.83,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
23,51852,MORTGAGE,0,MEDICAL,A,10000,8.59,0,0.19,No,2,Non Default,7127,0,8.59,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
23,65000,RENT,0,VENTURE,B,7000,10.71,0,0.11,No,2,Non Default,7128,0,10.71,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
21,65000,RENT,0,VENTURE,A,7000,,0,0.11,No,4,Non Default,7129,1,7.49,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
22,51900,MORTGAGE,5,VENTURE,B,14100,11.49,0,0.27,No,2,Non Default,7130,0,11.49,3. 50k-75k,1. Under 25,4. 3-5yrs,3. 20-30%
23,66000,RENT,2,EDUCATION,A,7000,7.66,0,0.11,No,3,Non Default,7131,0,7.66,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
24,51992,MORTGAGE,9,PERSONAL,C,15000,13.98,0,0.29,No,3,Non Default,7132,0,13.98,3. 50k-75k,1. Under 25,5. 6-9 yrs,3. 20-30%
22,66000,RENT,0,EDUCATION,B,7000,9.99,0,0.11,No,4,Non Default,7133,0,9.99,3. 50k-75k,1. Under 25,2. Under 1 yrs,2. 10-20%
24,51996,MORTGAGE,3,PERSONAL,A,7000,7.49,0,0.13,No,3,Non Default,7134,0,7.49,3. 50k-75k,1. Under 25,4. 3-5yrs,2. 10-20%
24,66000,RENT,2,VENTURE,B,7000,11.49,0,0.11,No,3,Non Default,7135,0,11.49,3. 50k-75k,1. Under 25,3. 1-2 yrs,2. 10-20%
24,60000,RENT,8,EDUCATION,A,7000,7.51,1,0.12,No,4,Default,7136,0,7.51,3. 50k-75k,1. Under 25,5. 6-9 yrs,2. 10-20%
21,51996,MORTGAGE,1,EDUCATION,A,18000,8.49,0,0.35,No,2,Non Default,7137,0,8.49,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
26,51996,MORTGAGE,8,DEBT CONSOLIDATION,A,18000,8.49,0,0.35,No,3,Non Default,7138,0,8.49,3. 50k-75k,2. 25-29,5. 6-9 yrs,4. 30-40%
23,51996,MORTGAGE,3,PERSONAL,A,5000,6.92,0,0.1,No,3,Non Default,7139,0,6.92,3. 50k-75k,1. Under 25,4. 3-5yrs,1. 0-10%
